program,gene
Endocrine,CHGA
Endocrine,CHGB
Endocrine,SCG2
Endocrine,SCG3
Endocrine,ISL1
Endocrine,NEUROD1
Endocrine,RFX6
Endocrine,INSM1
Endocrine,PCSK1
Beta_cell,INS
Beta_cell,IAPP
Beta_cell,PDX1
Beta_cell,NKX6-1
Beta_cell,MAFA
Beta_cell,ABCC8
Beta_cell,SLC30A8
Beta_cell,PCSK1
Ductal,KRT7
Ductal,KRT8
Ductal,KRT18
Ductal,KRT19
Ductal,SOX9
Ductal,CFTR
Ductal,SPP1
Ductal,TFF1
Ductal,TFF2
Acinar,PRSS1
Acinar,PRSS2
Acinar,CPA1
Acinar,CPB1
Acinar,CTRB1
Acinar,REG1A
Progenitor_remodeling,SOX4
Progenitor_remodeling,SOX11
Progenitor_remodeling,KLF6
Progenitor_remodeling,JUN
Progenitor_remodeling,S100A6
Progenitor_remodeling,STMN1
Progenitor_remodeling,CLU
Maturity,INS
Maturity,IAPP
Maturity,MAFA
Maturity,PDX1
Maturity,NKX6-1
Maturity,ABCC8
Maturity,SLC30A8
Maturity,RFX6
Maturity,ISL1
