sample_id,condition,replicate,data_dir,donor_id,chemistry
T0_1,T0,1,/path/to/T0_1/filtered_feature_bc_matrix,donor_1,10x_3prime_v3
T0_2,T0,2,/path/to/T0_2/filtered_feature_bc_matrix,donor_2,10x_3prime_v3
T0_3,T0,3,/path/to/T0_3/filtered_feature_bc_matrix,donor_3,10x_3prime_v3
T0_4,T0,4,/path/to/T0_4/filtered_feature_bc_matrix,donor_4,10x_3prime_v3
CTD5_1,CTD5,1,/path/to/CTD5_1/filtered_feature_bc_matrix,donor_1,10x_3prime_v3_1
CTD5_2,CTD5,2,/path/to/CTD5_2/filtered_feature_bc_matrix,donor_2,10x_3prime_v3_1
CTD5_3,CTD5,3,/path/to/CTD5_3/filtered_feature_bc_matrix,donor_3,10x_3prime_v3_1
CTD5_4,CTD5,4,/path/to/CTD5_4/filtered_feature_bc_matrix,donor_4,10x_3prime_v3_1
CTD10_1,CTD10,1,/path/to/CTD10_1/filtered_feature_bc_matrix,donor_1,10x_3prime_v3_1
CTD10_2,CTD10,2,/path/to/CTD10_2/filtered_feature_bc_matrix,donor_2,10x_3prime_v3_1
CTD10_3,CTD10,3,/path/to/CTD10_3/filtered_feature_bc_matrix,donor_3,10x_3prime_v3_1
CTD10_4,CTD10,4,/path/to/CTD10_4/filtered_feature_bc_matrix,donor_4,10x_3prime_v3_1
BTD5_1,BTD5,1,/path/to/BTD5_1/filtered_feature_bc_matrix,donor_1,10x_3prime_v3_1
BTD5_2,BTD5,2,/path/to/BTD5_2/filtered_feature_bc_matrix,donor_2,10x_3prime_v3_1
BTD5_3,BTD5,3,/path/to/BTD5_3/filtered_feature_bc_matrix,donor_3,10x_3prime_v3_1
BTD5_4,BTD5,4,/path/to/BTD5_4/filtered_feature_bc_matrix,donor_4,10x_3prime_v3_1
BTD10_1,BTD10,1,/path/to/BTD10_1/filtered_feature_bc_matrix,donor_1,10x_3prime_v3_1
BTD10_2,BTD10,2,/path/to/BTD10_2/filtered_feature_bc_matrix,donor_2,10x_3prime_v3_1
BTD10_3,BTD10,3,/path/to/BTD10_3/filtered_feature_bc_matrix,donor_3,10x_3prime_v3_1
BTD10_4,BTD10,4,/path/to/BTD10_4/filtered_feature_bc_matrix,donor_4,10x_3prime_v3_1
